operation,property_type,title,description_es,price_eur,bedrooms,bathrooms,parking,built_m2,plot_m2,property_state,location_full_slug,location_name,address_text,lat,lng,contact_phone,source_external_id,source_url,image_urls,referencia_catastral,energy_rating,legal_status,charges_status,ibi_annual_eur,community_monthly_eur,is_vpo,land_classification,buildable_m2,tourist_licence
venta,villa,Villa moderna en Nueva Andalucía,"Excelente propiedad en Nueva Andalucía. Muy bien ubicada, lista para habitar.",1250000,4,3,2,320,800,segunda_mano,marbella/nueva-andalucia,,,,,+34 611 100 001,DEMO-001,,https://picsum.photos/seed/p1a/800/600|https://picsum.photos/seed/p1b/800/600|https://picsum.photos/seed/p1c/800/600,,D,desconocido,desconocido,,,0,,,
venta,villa,Villa con jardín en Nueva Andalucía,"Excelente propiedad en Nueva Andalucía. Muy bien ubicada, lista para habitar.",1450000,5,4,3,380,900,segunda_mano,marbella/nueva-andalucia,,,,,+34 611 100 001,DEMO-002,,https://picsum.photos/seed/p2a/800/600|https://picsum.photos/seed/p2b/800/600|https://picsum.photos/seed/p2c/800/600,,C,escritura_registrada,libre_de_cargas,,,0,,,
venta,apartamento,Ático céntrico en Puerto Banús,Apartamento en Puerto Banús con excelente conectividad. Ideal para vivir o invertir.,780000,2,2,1,110,,obra_nueva,marbella/puerto-banus,,,,,+34 622 200 003,DEMO-003,,https://picsum.photos/seed/p3a/800/600|https://picsum.photos/seed/p3b/800/600|https://picsum.photos/seed/p3c/800/600,,B,obra_nueva_lpo,libre_de_cargas,,220,0,,,
venta,apartamento,Piso amueblado en Puerto Banús,Apartamento en Puerto Banús con excelente conectividad. Ideal para vivir o invertir.,420000,1,1,1,55,,obra_nueva,marbella/puerto-banus,,,,,+34 622 200 003,DEMO-004,,https://picsum.photos/seed/p4a/800/600|https://picsum.photos/seed/p4b/800/600|https://picsum.photos/seed/p4c/800/600,,B,obra_nueva_lpo,libre_de_cargas,,220,0,,,
venta,adosado,Adosado a estrenar en San Pedro de Alcántara,Vivienda adosada de obra nueva a pocos minutos de la playa.,495000,3,3,2,180,120,obra_nueva,marbella/san-pedro-de-alcantara,,,,,+34 633 300 005,DEMO-005,,https://picsum.photos/seed/p5a/800/600|https://picsum.photos/seed/p5b/800/600,,A,obra_nueva_lpo,libre_de_cargas,,150,0,,,
alquiler,apartamento,Piso en alquiler en Fuengirola,Piso amueblado a metros de la playa. Ideal para larga temporada.,1100,2,1,1,68,,segunda_mano,fuengirola,,,,,+34 644 400 006,DEMO-006,,https://picsum.photos/seed/p6a/800/600,,E,desconocido,desconocido,,,0,,,
alquiler,apartamento,Estudio en alquiler en Torremolinos,Estudio reformado cerca del centro.,650,0,1,,35,,segunda_mano,torremolinos,,,,,+34 655 500 007,DEMO-007,,https://picsum.photos/seed/p7a/800/600,,F,desconocido,desconocido,,,0,,,
venta,terreno,Terreno en Estepona,Parcela urbanizable en zona en crecimiento.,220000,,,,,1500,,estepona,,,,,+34 666 600 008,DEMO-008,,,,,,,,,0,urbanizable,1100,
venta,finca,Finca rústica en Mijas,Finca con casa reformada y olivos.,690000,3,2,4,210,15000,segunda_mano,mijas,,,,,+34 677 700 009,DEMO-009,,https://picsum.photos/seed/p9a/800/600,,D,en_regularizacion,desconocido,,,0,rustico,,
venta,atico,Ático de lujo en Marbella,"Ático con vistas al mar, terraza de 60 m² y jacuzzi.",1890000,3,3,2,180,,obra_nueva,marbella,,,,,+34 688 800 010,DEMO-010,,https://picsum.photos/seed/p10a/800/600|https://picsum.photos/seed/p10b/800/600,,A,obra_nueva_lpo,libre_de_cargas,,350,0,,,
venta,apartamento,Apartamento en Torrevieja,Cerca de la playa y de todos los servicios.,215000,2,1,1,72,,segunda_mano,torrevieja,,,,,+34 699 900 011,DEMO-011,,https://picsum.photos/seed/p11a/800/600,,D,desconocido,desconocido,,,0,,,
venta,villa,Villa con piscina en Torrevieja,Villa independiente con piscina privada y jardín.,485000,4,3,2,220,600,segunda_mano,torrevieja,,,,,+34 699 900 012,DEMO-012,,https://picsum.photos/seed/p12a/800/600,,C,escritura_registrada,con_hipoteca,,,0,,,
venta,apartamento,Apartamento nuevo en Palma,"Obra nueva en el centro de Palma, entrega inmediata.",540000,2,2,1,95,,obra_nueva,palma,,,,,+34 611 111 013,DEMO-013,,https://picsum.photos/seed/p13a/800/600,,B,obra_nueva_lpo,libre_de_cargas,,180,0,,,
alquiler,apartamento,Piso en alquiler en Palma,Piso luminoso en el centro histórico.,1400,2,1,,80,,segunda_mano,palma,,,,,+34 611 111 014,DEMO-014,,https://picsum.photos/seed/p14a/800/600,,E,desconocido,desconocido,,,0,,,
venta,villa,Villa de lujo en Madrid,Espectacular villa en zona residencial de Madrid.,2100000,6,5,4,450,1200,segunda_mano,madrid,,,,,+34 622 222 015,DEMO-015,,https://picsum.photos/seed/p15a/800/600,,C,escritura_registrada,libre_de_cargas,,,0,,,
